Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals,away_team_goals,home_team_substitutions,away_team_substitutions,home_team_yellow_card,away_team_yellow_card,home_team_red_card,away_team_red_card,referee,venue,capacity,attendance
Spain,laliga,Valencia,Real Sociedad,2,1,2017/2018,25.02,20:30,1 - 0,1 - 1,"[""34' 1 - 0 Mina S. (Montoya M.)"", ""68' 2 - 1 Mina S.""]","[""54' 1 - 1 Oyarzabal M. (Canales S.)""]","[""66' Zaza S. Soler C."", ""73' Torres F. Guedes G."", ""81' Maksimovic N. Rodrigo""]","[""69' Januzaj A. Juanmi"", ""79' Jon B. Zurutuza D.""]","[""78' Rodrigo (Tripping)"", ""90+3' Mina S. (Tripping)""]",[],[],[],Fuertes P.  (Esp),Estadio de Mestalla  (Valencia),49 430,37 195
Spain,laliga,Ath Bilbao,Malaga,2,1,2017/2018,25.02,18:15,2 - 1,0 - 0,"[""17' 1 - 1 Susaeta M. (de Marcos O.)"", ""44' 2 - 1 San Jose M. (Benat)""]","[""13' 0 - 1 En Nesyri Y. (Lestienne M.)""]","[""66' Iturraspe A. Cordoba I."", ""75' Saborit E. Lekue I."", ""83' Williams I. Benat""]","[""36' Lacen M. Adrian"", ""58' Rolan D. Lestienne M."", ""82' Bueno Torres M.""]","[""15' Martinez I. (Tripping)"", ""60' Lekue I. (Holding)"", ""63' de Marcos O. (Tripping)""]","[""84' En Nesyri Y. (Roughing)""]",[],"[""84' En Nesyri Y. (Roughing)""]",Hernandez A.  (Esp),Estadio San Mamés  (Bilbao),53 331,37 518
Spain,laliga,Villarreal,Getafe,1,0,2017/2018,25.02,14:00,1 - 0,0 - 0,"[""3' 1 - 0 Unal E. (Bacca C.)""]",[],"[""57' Rodri Trigueros M."", ""71' Raba D. Castillejo S."", ""81' Fornals P. Bacca C.""]","[""46' Molina J. Shibasaki G."", ""69' Ndiaye A. Remy L."", ""69' Ndockyt M. Portillo F.""]","[""13' Ruiz V. (Handling)"", ""50' Unal E. (Unsportsmanlike conduct)"", ""52' Soriano R. (Unsportsmanlike conduct)"", ""53' Castillejo S. (Roughing)"", ""82' Costa J. (Tripping)""]",[],[],[],Sanchez J.  (Esp),Estadio de la Ceramica  (Villarreal),23 000,16 125
Spain,laliga,Barcelona,Girona,6,1,2017/2018,24.02,22:45,4 - 1,2 - 0,"[""5' 1 - 1 Suarez L. (Messi L.)"", ""30' 2 - 1 Messi L. (Suarez L.)"", ""36' 3 - 1 Messi L."", ""44' 4 - 1 Suarez L. (Coutinho)"", ""66' 5 - 1 Coutinho (Suarez L.)"", ""76' 6 - 1 Suarez L. (Dembele O.)""]","[""3' 0 - 1 Portu""]","[""64' Vermaelen T. Pique G."", ""69' Paulinho Busquets S."", ""77' Roberto S. Rakitic I.""]","[""46' Planas C. Aday"", ""63' Garcia A. Garcia B."", ""70' Douglas Luiz Portu""]","[""87' Alba J. (Roughing)""]",[],[],[],Rojas J. A.  (Esp),Camp Nou  (Barcelona),99 354,85 417
Spain,laliga,Leganes,Las Palmas,0,0,2017/2018,24.02,20:30,0 - 0,0 - 0,[],[],"[""59' Guerrero M. Amrabat N."", ""78' Naranjo J. Omar"", ""90' Gumbau G. El Zhar N.""]","[""53' Toledo H. Gil N."", ""80' Ezekiel I. Tana"", ""86' Aquilani A. Gomez V.""]","[""66' Gabriel Pires (Tripping)"", ""74' Guerrero M. (Holding)"", ""90+2' Perez R. (Unsportsmanlike conduct)"", ""90+3' Siovas D. (Unsportsmanlike conduct)""]",[],[],[],Latre S.  (Esp),Estadio Municipal de Butarque  (Leganes),12 454,9 325
Spain,laliga,Real Madrid,Alaves,4,0,2017/2018,24.02,18:15,1 - 0,3 - 0,"[""44' 1 - 0 Ronaldo C. (Benzema K.)"", ""46' 2 - 0 Bale G. (Benzema K.)"", ""61' 3 - 0 Ronaldo C. (Lucas)"", ""89' 4 - 0 Benzema K. (Penalty)""]",[],"[""73' Ceballos D. Kovacic M."", ""80' Llorente M. Casemiro""]","[""62' Ibai Pedraza A."", ""63' Medran A. Garcia M."", ""74' Burgui Guidetti J.""]","[""82' Llorente M. (Holding)""]",[],[],[],Fernandez J.  (Esp),Estadio Santiago Bernabéu  (Madrid),83 186,75 181
Spain,laliga,Celta Vigo,Eibar,2,0,2017/2018,24.02,15:00,0 - 0,2 - 0,"[""56' 1 - 0 Aspas I. (Mor E.)"", ""79' 2 - 0 Gomez M. (Mallo H.)""]",[],"[""46' Mor E. Sisto P."", ""66' Hernandez P. Radoja N."", ""87' Roncaglia F. Cabral G.""]","[""61' Leon P. Alejo I."", ""73' Capa A. Pena R."", ""84' Junca D. Cote""]","[""38' Radoja N. (Roughing)"", ""39' Cabral G. (Roughing)""]",[],[],[],Del Cerro C.  (Esp),Estadio de Balaídos  (Vigo),24 791,15 383
Spain,laliga,Dep. La Coruna,Espanyol,0,0,2017/2018,23.02,23:00,0 - 0,0 - 0,[],[],"[""65' Colak E. Cartabia F."", ""82' Muntari S. Mosquera P."", ""89' Valle B. Andone F.""]","[""69' Garcia S. Leo Baptistao"", ""74' Jurado J. M. Piatti P."", ""80' Navarro M. Granero E.""]","[""17' Andone F. (Roughing)"", ""33' Mosquera P. (Roughing)"", ""60' Schar F. (Holding)"", ""62' Cartabia F. (Roughing)"", ""83' Boveda E. (Roughing)""]",[],[],[],Fernandez Borbalan D.  (Esp),Estadio Municipal de Riazor  (La Coruña),34 889,18 028
Spain,laliga,Leganes,Real Madrid,1,3,2017/2018,21.02,20:45,1 - 2,0 - 1,"[""6' 1 - 0 Bustinza U.""]","[""11' 1 - 1 Lucas (Casemiro)"", ""29' 1 - 2 Casemiro (Lucas)"", ""90' 1 - 3 Ramos S. (Penalty)""]","[""46' Mantovani M. Siovas D."", ""46' Perez R. Gumbau G."", ""72' Amrabat N. Omar""]","[""76' Bale G. Benzema K."", ""87' Llorente M. Isco"", ""90+2' Ceballos D. Kovacic M.""]","[""51' Rico D. (Tripping)"", ""85' Pichu Cuellar (Unsportsmanlike conduct)"", ""86' Perez R. (Tripping)""]",[],[],[],Gonzalez G.  (Esp),Estadio Municipal de Butarque  (Leganes),12 454,11 423
Spain,laliga,Getafe,Celta Vigo,3,0,2017/2018,19.02,23:00,1 - 0,2 - 0,"[""37' 1 - 0 Rodriguez A. (Ndiaye A.)"", ""51' 2 - 0 Molina J. (Rodriguez A.)"", ""85' 3 - 0 Rodriguez A. (Arambarri M.)""]",[],"[""71' Remy L. Molina J."", ""86' Ndockyt M. Ndiaye A."", ""90' Mora S. Rodriguez A.""]","[""62' Mor E. Hernandez P."", ""62' Radoja N. Sisto P."", ""74' Boye L. Roncaglia F.""]","[""10' Suarez D. (Tripping)"", ""23' Cabrera L. (Tripping)"", ""60' Portillo F. (Foul)"", ""87' Fajr F. (Tripping)""]",[],[],[],Fuertes P.  (Esp),Coliseum  (Getafe),16 500,8 367
