,Country,League
318,Czech Republic,4. liga - Group D
319,Czech Republic,4. liga - Group E
320,Czech Republic,4. liga - Group F
321,Czech Republic,Jihocesky KP
322,Czech Republic,Jihomoravsky KP
323,Czech Republic,Karlovarsky KP
324,Czech Republic,Kralovehradecky KP
325,Czech Republic,Liberecky KP
326,Czech Republic,Moravskoslezsky KP
327,Czech Republic,Olomoucky KP
328,Czech Republic,Pardubicky KP
329,Czech Republic,Plzensky KP
330,Czech Republic,Prazsky prebor
331,Czech Republic,Stredocesky KP
332,Czech Republic,Ustecky KP
333,Czech Republic,Vysocina KP
334,Czech Republic,Zlinsky KP
335,Czech Republic,U19 League
336,Czech Republic,Tipsport liga
337,Czech Republic,1. Liga Women
338,Czech Republic,2. Liga Women
339,Czech Republic,Czech Cup Women
340,Denmark,Superliga
341,Denmark,1st Division
342,Denmark,2nd Division
343,Denmark,3rd Division
344,Denmark,Landspokal Cup
345,Denmark,Elitedivisionen Women
346,Denmark,1. Division Women
347,Denmark,Danish Cup Women
348,Djibouti,Division 1
349,Dominican Republic,LDF
350,DR Congo,Ligue 1
351,Ecuador,Liga Pro
352,Ecuador,Serie B
353,Ecuador,Copa Ecuador
354,Ecuador,Super Cup
355,Egypt,Premier League
356,Egypt,Division 2 A
357,Egypt,Egypt Cup
358,Egypt,League Cup
359,Egypt,Super Cup
360,El Salvador,Primera Division
361,England,Premier League
362,England,Championship
363,England,League One
364,England,League Two
365,England,National League
366,England,National League North
367,England,National League South
368,England,National League Cup
369,England,NPL Premier Division
370,England,Southern League Premier Central
371,England,Southern League Premier South
372,England,Isthmian League Premier Division
373,England,FA Cup
374,England,EFL Cup
375,England,FA Community Shield
376,England,EFL Trophy
377,England,FA Trophy
378,England,Premier League 2
379,England,Professional Development League
380,England,Premier League Cup
381,England,Premier League U18
382,England,FA Youth Cup
383,England,Women’s Super League
384,England,Women’s Championship
385,England,Women's National League North
386,England,Women's National League South
387,England,Women’s FA Cup
388,England,Women's League Cup
389,England,Women's FA Community Shield
390,Estonia,Meistriliiga
391,Estonia,Esiliiga
392,Estonia,Esiliiga B
393,Estonia,Estonian Cup
394,Estonia,Super Cup
395,Estonia,Meistriliiga Women
396,Eswatini,Swazi MTN Premier League
397,Ethiopia,Premier League
398,Faroe Islands,Premier League
399,Faroe Islands,1. Deild
400,Faroe Islands,Faroe Islands Cup
401,Faroe Islands,Super Cup
402,Fiji,Premier League
403,Fiji,Champion vs Champion
404,Finland,Veikkausliiga
405,Finland,Ykkosliiga
406,Finland,Ykkonen
407,Finland,Kakkonen Group A
408,Finland,Kakkonen Group B
409,Finland,Kakkonen Group C
410,Finland,Kakkonen Play Offs
411,Finland,Kakkonen Promotion Play Offs
412,Finland,Suomen Cup
413,Finland,Liiga Cup
414,Finland,Kakkosen Cup
415,Finland,Ykkosliigacup
416,Finland,Kansallinen Liiga Women
417,Finland,Ykkonen Women
418,Finland,Suomen Cup Women
419,France,Ligue 1
420,France,Ligue 2
421,France,National
422,France,National 2 - Group A
423,France,National 2 - Group B
424,France,National 2 - Group C
425,France,Coupe de la Ligue
426,France,Coupe de France
427,France,Super Cup
428,France,Premiere Ligue Women
429,France,Seconde Ligue Women
430,France,Coupe de France Women
431,France,Super Cup Women
432,Gabon,Championnat D1
433,Gambia,GFA League
434,Gambia,FF Cup
435,Georgia,Crystalbet Erovnuli Liga
436,Georgia,Crystalbet Erovnuli Liga 2
437,Georgia,Liga 3
438,Georgia,Georgian Cup
439,Georgia,Super Cup
440,Germany,Bundesliga
441,Germany,2. Bundesliga
442,Germany,3. Liga
443,Germany,Regionalliga North
444,Germany,Regionalliga Nordost
445,Germany,Regionalliga West
446,Germany,Regionalliga Sudwest
447,Germany,Regionalliga Bayern
448,Germany,Regionalliga Play Offs
449,Germany,Oberliga NOFV-Nord
450,Germany,Oberliga NOFV- Sud
451,Germany,Oberliga NOFV - Relegation
452,Germany,Oberliga Schleswig-Holstein
453,Germany,Oberliga Hamburg
454,Germany,Oberliga Bremen
455,Germany,Oberliga Niedersachsen
456,Germany,Oberliga Westfalen
457,Germany,Oberliga Hessen
458,Germany,Oberliga Rheinland-Pfalz/Saar
459,Germany,Oberliga Bayern Nord
460,Germany,Oberliga Bayern Süd
461,Germany,Oberliga Baden-Württemberg
462,Germany,Oberliga Mittelrhein
463,Germany,Oberliga Niederrhein
464,Germany,Oberliga NRW
465,Germany,Oberliga Bayern
466,Germany,Oberliga Bayern - Relegation
467,Germany,Oberliga Play Offs
468,Germany,DFB Pokal
469,Germany,Super Cup
470,Germany,Telekom Cup
471,Germany,DFB Youth League
472,Germany,DFB Junioren Pokal
473,Germany,Bundesliga Women
474,Germany,2. Bundesliga Women
475,Germany,DFB Pokal Women
476,Germany,Super Cup Women
477,Ghana,Premier League
478,Ghana,Division One League
479,Ghana,Ghanaian Cup
480,Ghana,Super Cup
481,Ghana,Super Cup Div. One
482,Gibraltar,National League
483,Gibraltar,Gibraltar Cup
484,Gibraltar,Super Cup
485,Greece,Super League
486,Greece,Super League 2
487,Greece,Football League
488,Greece,Gamma Ethniki - Group 1
489,Greece,Gamma Ethniki - Group 2
490,Greece,Gamma Ethniki - Group 3
491,Greece,Gamma Ethniki - Group 4
492,Greece,Gamma Ethniki - Promotion Play-offs
493,Greece,Gamma Ethniki - Relegation Play-offs
494,Greece,Greek Cup
495,Greece,Division A Women
496,Grenada,Premier Division
497,Guatemala,Liga Nacional
498,Guinea,Ligue 1
499,Haiti,Championnat National
500,Honduras,Liga Nacional
501,Hong Kong,Premier League
502,Hong Kong,FA Cup
503,Hong Kong,HKPL Cup
504,Hong Kong,Sapling Cup
505,Hong Kong,Senior Shield
506,Hungary,OTP Bank Liga
507,Hungary,Merkantil Bank Liga
508,Hungary,NB III - Northeast
509,Hungary,NB III - Northwest
510,Hungary,NB III - Southeast
511,Hungary,NB III - Southwest
512,Hungary,NB III - Promotion Play Offs
513,Hungary,Hungarian Cup
514,Hungary,NB I Women
515,Hungary,Hungarian Cup Women
516,Iceland,Besta deild karla
517,Iceland,Division 1
518,Iceland,Division 2
519,Iceland,League Cup
520,Iceland,Icelandic Cup
521,Iceland,Reykjavik Cup
522,Iceland,Fotbolti.net Cup
523,Iceland,Super Cup
524,Iceland,Besta deild Women
525,Iceland,League Cup Women
526,Iceland,Icelandic Cup Women
527,Iceland,Super Cup Women
528,India,ISL
529,India,I-League
530,India,I-League 2
531,India,I-League 3
532,India,Calcutta Premier Division
